sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.865;27;;30rounds;Yes;No;4;0.62489;0.86583;0.00000;0.14970;2.95062;ExampleAgent@139;BoulwareNegotiationParty@140;ExampleAgent@141;BoulwareNegotiationParty@142;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.0;0.0;0.0;0.0;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;27;Session genius.core.session.Session@3e6a4a22 failed: Failed to execute protocol: null:[agents.ABMPAgent2, negotiator.parties.BoulwareNegotiationParty, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;BoulwareNegotiationParty;ExampleAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.705;31;;30rounds;Yes;No;4;0.61905;0.75466;0.10993;0.20926;2.75654;BoulwareNegotiationParty@147;ImprovedRandomAgent@148;ExampleAgent@149;BoulwareNegotiationParty@150;0.7466666666666668;0.754656118933505;0.6361684811916324;0.6190471;0.7466666666666668;0.754656118933505;0.6361684811916324;0.6190471;0.7466666666666668;0.754656118933505;0.6361684811916324;0.6190471;0.0;0.0;0.0;0.0;0.7466666666666668;0.754656118933505;0.6361684811916324;0.6190471;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.512;30;;30rounds;Yes;No;4;0.66667;0.76434;0.07483;0.16183;2.86103;ImprovedRandomAgent@151;ImprovedRandomAgent@152;ExampleAgent@153;BoulwareNegotiationParty@154;0.7425;0.7643395831284985;0.6875252038638495;0.6666661;0.7425;0.7643395831284985;0.6875252038638495;0.6666661;0.7425;0.7643395831284985;0.6875252038638495;0.6666661;0.0;0.0;0.0;0.0;0.7425;0.7643395831284985;0.6875252038638495;0.6666661;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.685;31;;30rounds;Yes;No;4;0.61905;0.84135;0.00000;0.26811;2.90964;ExampleAgent@155;ImprovedRandomAgent@156;ExampleAgent@157;BoulwareNegotiationParty@158;0.6425000000000001;0.8413511805074789;0.8067368680099107;0.6190470750000001;0.6425000000000001;0.8413511805074789;0.8067368680099107;0.6190470750000001;0.6425000000000001;0.8413511805074789;0.8067368680099107;0.6190470750000001;0.0;0.0;0.0;0.0;0.6425000000000001;0.8413511805074789;0.8067368680099107;0.6190470750000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;29;Session genius.core.session.Session@493061c failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ImprovedRandomAgent.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ImprovedRandomAgent;ExampleAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
0.733;24;;30rounds;Yes;No;4;0.39096;0.84524;0.05792;0.45507;2.76920;BoulwareNegotiationParty@163;ExampleAgent@164;ExampleAgent@165;BoulwareNegotiationParty@166;0.82;0.39095586957842454;0.7130047414918084;0.8452373250000002;0.82;0.39095586957842454;0.7130047414918084;0.8452373250000002;0.82;0.39095586957842454;0.7130047414918084;0.8452373250000002;0.0;0.0;0.0;0.0;0.82;0.39095586957842454;0.7130047414918084;0.8452373250000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.852;25;;30rounds;Yes;No;4;0.41833;0.88000;0.00000;0.42622;2.82999;ImprovedRandomAgent@167;ExampleAgent@168;ExampleAgent@169;BoulwareNegotiationParty@170;0.88;0.4183343946196012;0.7459415298378556;0.7857135500000001;0.88;0.4183343946196012;0.7459415298378556;0.7857135500000001;0.88;0.4183343946196012;0.7459415298378556;0.7857135500000001;0.0;0.0;0.0;0.0;0.88;0.4183343946196012;0.7459415298378556;0.7857135500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.646;21;;30rounds;Yes;No;4;0.24791;0.93333;0.00000;0.62523;2.73094;ExampleAgent@171;ExampleAgent@172;ExampleAgent@173;BoulwareNegotiationParty@174;0.9333333333333335;0.24790870595432846;0.6211322653946793;0.9285706;0.9333333333333335;0.24790870595432846;0.6211322653946793;0.9285706;0.9333333333333335;0.24790870595432846;0.6211322653946793;0.9285706;0.0;0.0;0.0;0.0;0.9333333333333335;0.24790870595432846;0.6211322653946793;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
;23;Session genius.core.session.Session@305757c8 failed: Failed to execute protocol: null:[agents.ABMPAgent2, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, C:\Users\sstoi\IdeaProjects\Intelligent-Agent\out\production\Intelligent-Agent\group10\ExampleAgent.class, negotiator.parties.BoulwareNegotiationParty];30rounds;No;;0;;;;;;ABMPAgent2;ExampleAgent;ExampleAgent;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility
